Ticker Symbol,Security,Sector,Date first added
A,Agilent Technologies Inc,Health Care,
AA,Alcoa Inc,Materials,
AAL,American Airlines Group,Industrials,23/03/2015
AAP,Advance Auto Parts,Consumer Discretionary,09/07/2015
AAPL,Apple Inc.,Information Technology,30/11/1982
ABBV,AbbVie,Health Care,31/12/2012
ABC,AmerisourceBergen Corp,Health Care,
ABT,Abbott Laboratories,Health Care,
ACN,Accenture plc,Information Technology,06/07/2011
ADBE,Adobe Systems Inc,Information Technology,
ADI,Analog Devices Inc.,Information Technology,
ADM,Archer-Daniels-Midland Co,Consumer Staples,29/07/1981
ADP,Automatic Data Processing,Information Technology,31/03/1981
ADS,Alliance Data Systems,Information Technology,23/12/2013
ADSK,Autodesk Inc,Information Technology,01/12/1989
AEE,Ameren Corp,Utilities,19/09/1991
AEP,American Electric Power,Utilities,
AES,AES Corp,Utilities,
AET,Aetna Inc,Health Care,30/06/1976
AFL,AFLAC Inc,Financials,
AGN,Allergan plc,Health Care,
AIG,American International Group Inc.,Financials,31/03/1980
AIV,Apartment Investment & Mgmt,Financials,
AIZ,Assurant Inc,Financials,10/04/2007
AJG,Arthur J. Gallagher & Co.,Financials,31/05/2016
AKAM,Akamai Technologies Inc,Information Technology,12/07/2007
ALK,Alaska Air Group Inc,Industrials,13/05/2016
ALL,Allstate Corp,Financials,
ALLE,Allegion,Industrials,02/12/2013
ALXN,Alexion Pharmaceuticals,Health Care,25/05/2012
AMAT,Applied Materials Inc,Information Technology,
AME,Ametek,Industrials,23/09/2013
AMG,Affiliated Managers Group Inc,Financials,01/07/2014
AMGN,Amgen Inc,Health Care,02/01/1992
AMP,Ameriprise Financial,Financials,
AMT,American Tower Corp A,Financials,19/11/2007
AMZN,Amazon.com Inc,Consumer Discretionary,18/11/2005
AN,AutoNation Inc,Consumer Discretionary,
ANTM,Anthem Inc.,Health Care,
AON,Aon plc,Financials,
APA,Apache Corporation,Energy,
APC,Anadarko Petroleum Corp,Energy,
APD,Air Products & Chemicals Inc,Materials,30/04/1985
APH,Amphenol Corp A,Industrials,30/09/2008
ATVI,Activision Blizzard,Information Technology,31/08/2015
AVB,AvalonBay Communities Inc.,Financials,10/01/2007
AVGO,Avago Technologies,Information Technology,08/05/2014
AVY,Avery Dennison Corp,Materials,31/12/1987
AWK,American Water Works Company Inc,Utilities,04/03/2016
AXP,American Express Co,Financials,30/06/1976
AYI,Acuity Brands Inc,Industrials,03/05/2016
AZO,AutoZone Inc,Consumer Discretionary,
BA,Boeing Company,Industrials,
BAC,Bank of America Corp,Financials,30/06/1976
BAX,Baxter International Inc.,Health Care,30/09/1972
BBBY,Bed Bath & Beyond,Consumer Discretionary,
BBT,BB&T Corporation,Financials,
BBY,Best Buy Co. Inc.,Consumer Discretionary,
BCR,Bard (C.R.) Inc.,Health Care,30/06/1975
BDX,Becton Dickinson,Health Care,30/09/1972
BEN,Franklin Resources,Financials,
BF-B,Brown-Forman Corporation,Consumer Staples,31/10/1982
BHI,Baker Hughes Inc,Energy,
BIIB,BIOGEN IDEC Inc.,Health Care,
BK,The Bank of New York Mellon Corp.,Financials,
BLK,BlackRock,Financials,04/04/2011
BLL,Ball Corp,Materials,31/10/1984
BMY,Bristol-Myers Squibb,Health Care,
BRK-B,Berkshire Hathaway,Financials,16/02/2010
BSX,Boston Scientific,Health Care,
BWA,BorgWarner,Consumer Discretionary,19/12/2011
BXLT,Baxalta,Health Care,01/07/2015
BXP,Boston Properties,Financials,
C,Citigroup Inc.,Financials,31/05/1988
CA,CA Inc.,Information Technology,31/07/1987
CAG,ConAgra Foods Inc.,Consumer Staples,31/08/1983
CAH,Cardinal Health Inc.,Health Care,
CAT,Caterpillar Inc.,Industrials,
CB,Chubb Limited,Financials,15/07/2010
CBG,CBRE Group,Financials,
CBS,CBS Corp.,Consumer Discretionary,01/09/1994
CCI,Crown Castle International Corp.,Financials,14/03/2012
CCL,Carnival Corp.,Consumer Discretionary,
CELG,Celgene Corp.,Health Care,
CERN,Cerner,Health Care,30/04/2010
CF,CF Industries Holdings Inc,Materials,27/08/2008
CFG,Citizens Financial Group,Financials,29/01/2016
CHD,Church & Dwight,Consumer Staples,29/12/2015
CHK,Chesapeake Energy,Energy,
CHRW,C. H. Robinson Worldwide,Industrials,
CI,CIGNA Corp.,Health Care,30/06/1976
CINF,Cincinnati Financial,Financials,
CL,Colgate-Palmolive,Consumer Staples,
CLX,The Clorox Company,Consumer Staples,31/03/1969
CMA,Comerica Inc.,Financials,
CMCSA,Comcast A Corp,Consumer Discretionary,
CME,CME Group Inc.,Financials,
CMG,Chipotle Mexican Grill,Consumer Discretionary,28/04/2011
CMI,Cummins Inc.,Industrials,31/03/1965
CMS,CMS Energy,Utilities,
CNC,Centene Corporation,Health Care,30/03/2016
CNP,CenterPoint Energy,Utilities,31/07/1985
COF,Capital One Financial,Financials,
COG,Cabot Oil & Gas,Energy,23/06/2008
COH,Coach Inc.,Consumer Discretionary,
COL,Rockwell Collins,Industrials,
COP,ConocoPhillips,Energy,
COST,Costco Co.,Consumer Staples,01/10/1993
CPB,Campbell Soup,Consumer Staples,
CPGX,Columbia Pipeline Group Inc,Energy,02/07/2015
CRM,Salesforce.com,Information Technology,15/09/2008
CSCO,Cisco Systems,Information Technology,01/12/1993
CSRA,CSRA Inc.,Information Technology,01/12/2015
CSX,CSX Corp.,Industrials,30/09/1967
CTAS,Cintas Corporation,Industrials,
CTL,CenturyLink Inc,Telecommunications Services,
CTSH,Cognizant Technology Solutions,Information Technology,
CTXS,Citrix Systems,Information Technology,
CVC,Cablevision Systems Corp.,Consumer Discretionary,20/12/2010
CVS,CVS Health,Consumer Staples,
CVX,Chevron Corp.,Energy,
CXO,Concho Resources,Energy,22/02/2016
D,Dominion Resources,Utilities,
DAL,Delta Air Lines,Industrials,11/09/2013
DD,Du Pont (E.I.),Materials,
DE,Deere & Co.,Industrials,
DFS,Discover Financial Services,Financials,02/07/2007
DG,Dollar General,Consumer Discretionary,03/12/2012
DGX,Quest Diagnostics,Health Care,
DHI,D. R. Horton,Consumer Discretionary,
DHR,Danaher Corp.,Industrials,
DIS,The Walt Disney Company,Consumer Discretionary,30/06/1976
DISCA,Discovery Communications-A,Consumer Discretionary,01/03/2010
DISCK,Discovery Communications-C,Consumer Discretionary,07/08/2014
DLPH,Delphi Automotive,Consumer Discretionary,24/12/2012
DLR,Digital Realty Trust,Financials,18/05/2016
DLTR,Dollar Tree,Consumer Discretionary,19/12/2011
DNB,Dun & Bradstreet,Industrials,02/12/2008
DO,Diamond Offshore Drilling,Energy,26/02/2009
DOV,Dover Corp.,Industrials,31/10/1985
DOW,Dow Chemical,Materials,
DPS,Dr Pepper Snapple Group,Consumer Staples,07/10/2008
DRI,Darden Restaurants,Consumer Discretionary,
DTE,DTE Energy Co.,Utilities,
DUK,Duke Energy,Utilities,30/06/1976
DVA,DaVita Inc.,Health Care,31/07/2008
DVN,Devon Energy Corp.,Energy,
