Ticker Symbol,Company,Sector
AAV.TO,Advantage Oil & Gas Ltd.,Energy
ARE.TO,Aecon Group Inc.,Industrials
AEM.TO,Agnico Eagle Mines Limited,Materials
AGU.TO,Agrium Inc.,Materials
AIM.TO,Aimia Inc.,Consumer Discretionary
AC.TO,Air Canada,Industrials
ASR.TO,Alacer Gold Corp.,Materials
AGI.TO,Alamos Gold Inc.,Materials
AD.TO,Alaris Royalty Corp.,Financials
AQN.TO,Algonquin Power & Utilities Corp.,Utilities
ATD-B.TO,Alimentation Couche-Tard Inc.,Consumer Staples
AP-UN.TO,Allied Properties Real Estate Investment Trust,Financials
ALA.TO,AltaGas Ltd.,Energy
AYA.TO,Amaya Inc.,Consumer Discretionary
ARX.TO,ARC Resources Ltd.,Energy
AX-UN.TO,Artis Real Estate Investment Trust,Financials
ACO-X.TO,ATCO Ltd.,Utilities
ATA.TO,ATS Automation Tooling Systems Inc.,Industrials
AVO.TO,Avigilon Corporation,Information Technology
BTO.TO,B2Gold Corp.,Materials
BAD.TO,Badger Daylighting Ltd.,Industrials
BMO.TO,Bank of Montreal,Financials
BNS.TO,Bank of Nova Scotia,Financials
ABX.TO,Barrick Gold Corporation,Materials
BTE.TO,Baytex Energy Corp.,Energy
BCE.TO,BCE Inc.,Telecommunication Services
BIR.TO,Birchcliff Energy Ltd.,Energy
BB.TO,BlackBerry Limited,Information Technology
BEI-UN.TO,Boardwalk Real Estate Investment Trust,Financials
BBD-B.TO,Bombardier Inc.,Industrials
BNP.TO,Bonavista Energy Corporation,Energy
BNE.TO,Bonterra Energy Corp.,Energy
BYD-UN.TO,Boyd Group Income Fund,Industrials
BAM-A.TO,Brookfield Asset Management Inc.,Financials
BPY-UN.TO,Brookfield Property Partners L.P.,Financials
BEP-UN.TO,Brookfield Renewable Energy Partners L.P.,Utilities
DOO.TO,BRP Inc.,Consumer Discretionary
CAE.TO,CAE Inc.,Industrials
CCO.TO,Cameco Corporation,Energy
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Financials
CEU.TO,Canadian Energy Services & Technology Corp.,Energy
CM.TO,Canadian Imperial Bank of Commerce,Financials
CNR.TO,Canadian National Railway Company,Industrials
CNQ.TO,Canadian Natural Resources Limited,Energy
CP.TO,Canadian Pacific Railway Limited,Industrials
REF-UN.TO,Canadian Real Estate Investment Trust,Financials
CTC-A.TO,Canadian Tire Corporation Limited,Consumer Discretionary
CU.TO,Canadian Utilities Limited,Utilities
CWB.TO,Canadian Western Bank,Financials
CFP.TO,Canfor Corporation,Materials
CPX.TO,Capital Power Corporation,Utilities
CCL-B.TO,CCL Industries Inc.,Materials
CLS.TO,Celestica Inc.,Information Technology
CVE.TO,Cenovus Energy Inc.,Energy
CG.TO,Centerra Gold Inc.,Materials
GIB-A.TO,CGI Group Inc.,Information Technology
CSH-UN.TO,Chartwell Retirement Residences,Financials
CHE-UN.TO,Chemtrade Logistics Income Fund,Materials
CIX.TO,CI Financial Corp.,Financials
CGX.TO,Cineplex Inc.,Consumer Discretionary
CCA.TO,Cogeco Communications Inc.,Consumer Discretionary
CIG.TO,Colliers International Group Inc.,Financials
CUF-UN.TO,Cominar Real Estate Investment Trust,Financials
CMG.TO,Computer Modelling Group Ltd.,Information Technology
CXR.TO,Concordia Healthcare Corp.,Health Care
CSU.TO,Constellation Software Inc.,Information Technology
CJR-B.TO,Corus Entertainment Inc.,Consumer Discretionary
BCB.TO,Cott Corporation,Consumer Staples
CPG.TO,Crescent Point Energy Corp.,Energy
CR.TO,Crew Energy Inc.,Energy
CRR-UN.TO,Crombie Real Estate Investment Trust,Financials
DSG.TO,Descartes Systems Group Inc.,Information Technology
DGC.TO,Detour Gold Corporation,Materials
DH.TO,DH Corporation,Financials
DHX-B.TO,DHX Media Ltd.,Consumer Discretionary
DOL.TO,Dollarama Inc.,Consumer Discretionary
DDC.TO,Dominion Diamond Corporation,Materials
DII-B.TO,Dorel Industries Inc.,Consumer Discretionary
DRG-UN.TO,Dream Global Real Estate Investment Trust,Financials
D-UN.TO,Dream Office Real Estate Investment Trust,Financials
ELD.TO,Eldorado Gold Corporation,Materials
EFN.TO,Element Financial Corporation,Financials
EMA.TO,Emera Incorporated,Utilities
EMP-A.TO,Empire Company Limited,Consumer Staples
ENB.TO,Enbridge Inc.,Energy
ENF.TO,Enbridge Income Fund Holdings Inc.,Energy
ECA.TO,Encana Corporation,Energy
ECI.TO,EnerCare Inc.,Industrials
EFX.TO,Enerflex Ltd.,Energy
ERF.TO,Enerplus Corporation,Energy
ESL.TO,Enghouse Systems Limited,Information Technology
ESI.TO,Ensign Energy Services Inc.,Energy
EXE.TO,Extendicare Inc.,Health Care
FFH.TO,Fairfax Financial Holdings Limited,Financials
FTT.TO,Finning International Inc.,Industrials
FCR.TO,First Capital Realty Inc.,Financials
FR.TO,First Majestic Silver Corp.,Materials
FM.TO,First Quantum Minerals Ltd.,Materials
FSV.TO,FirstService Corporation,Financials
FTS.TO,Fortis Inc.,Utilities
FNV.TO,Franco-Nevada Corporation,Materials
FRU.TO,Freehold Royalties Ltd.,Energy
MIC.TO,Genworth MI Canada Inc.,Financials
WN.TO,George Weston Limited,Consumer Staples
GEI.TO,Gibson Energy Inc.,Energy
